group,strategy,experiment_other,experiment_raw,n_common,solve_rate_diff,solve_rate_lo,solve_rate_hi,solve_rate_p,mean_cost_diff,mean_cost_lo,mean_cost_hi,mean_cost_p
Gemini 2.5 Flash,LLM-Summary,gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-llm_summary_N_21_M_10-summarizer_for_eval-run_1,gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-raw_agent-verified_50-run_1,50,0.019999999999999962,-0.12,0.16000000000000003,0.871,-1.3164860000000003,-2.1758865499999995,-0.5695879499999997,0.0002
Gemini 2.5 Flash,Observation Masking,gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-observation_masking-M_86-verified_50-observation_masking_for_eval-run_1,gemini-2.5-flash_maxiter_250_N_v0.43.0-no-hint-raw_agent-verified_50-run_1,50,0.0,-0.12,0.12,1.1024,-0.5723460000000005,-1.35062825,0.09142644999999974,0.097
